src,dest,dist
HAM,FCO,1325591
HAJ,SAW,1964970
ZRH,CGN,391897
VIE,CGN,747916
NBO,MBA,421978
CEB,SIN,2422628
DUS,PMI,1341552
KRK,STR,781615
HAM,TLS,1278915
LEJ,DUS,381572
FCO,HAJ,1200407
CRK,SIN,2378024
CGY,DVO,210334
SJJ,STR,885435
DUS,TRN,680186
DUS,BSL,415195
DUS,GVA,563813
TUN,CGN,1576442
STR,SAW,1802152
CGN,VRN,668887
HAM,BUD,950542
LEJ,STR,373835
HAM,FAO,2307950
HER,HAJ,2262816
DUS,DUB,917905
DUS,NUE,364845
SJJ,CGN,1149930
SAW,TXL,1775464
SAW,HAM,2022567
SKG,DUS,1728846
HER,DUS,2304161
FKB,HAM,555854
DXB,MNL,6915229
HKG,CEB,1707386
CEB,MNL,565210
DVO,MNL,960456
MFM,CRK,1064690
HAJ,NAP,1333418
MXP,HAM,894357
MXP,DUS,645703
NAP,STR,954963
TXL,CGN,464455
DUB,CGN,959547
CEB,DVO,396855
STR,LEJ,373835
STR,SKG,1415938
STR,VIE,547660
NAP,HAM,1453118
STR,LIS,1835706
TXL,LHR,950244
TXL,SAW,1775464
ZRH,HAM,693372
HAM,VRN,918156
CRK,CEB,655006
KUL,MNL,2488409
CEB,HKG,1707386
MNL,PUS,2423318
STR,BRI,1027726
HAJ,HER,2262816
EDI,CGN,897895
TXL,VIE,547175
TXL,CTA,1683019
VIE,STR,547660
CRK,MFM,1064690
HAM,SAW,2022567
NCE,CGN,801319
HAM,VCE,919572
LIN,TXL,843547
HAM,BGO,796205
MUC,DTM,462097
STR,BRE,485729
EZE,MVD,229149
HAN,MNL,1773787
MNL,REP,1862785
DPS,MNL,2651958
DTM,MUC,462097
HAM,ZRH,693372
TLS,HAM,1278915
TXL,FCO,1198246
PRG,DUS,545440
TXL,PMI,1656440
TRN,DUS,680186
WAW,CGN,968944
HKG,MNL,1143574
SIN,CRK,2378024
CWB,MVD,1224315
DVO,CEB,396855
MNL,KIX,2629047
ICN,CEB,3018905
CEB,CGY,194701
SIN,CEB,2422628
CGY,CEB,194701
ICN,MNL,2600105
MNL,HAN,1773787
NBO,JUB,905327
MNL,CEB,565210
TPE,MNL,1170255
JUB,NBO,905327
HKG,CRK,1054383
CAN,MNL,1275314
MNL,HKG,1143574
MNL,TPE,1170255
BKK,MNL,2190478
SGN,MNL,1612785
REP,MNL,1862785
NRT,ICN,1259635
CGK,MNL,2778974
CRK,HKG,1054383
MNL,DVO,960456
MNL,SGN,1612785
MVD,CWB,1224315
MNL,NGO,2754447
KIX,GMP,837222
GMP,KIX,837222
ICN,CEB,3018905
MNL,SIN,2371806
ICN,KIX,861671
GRU,MVD,1567303
HYD,GOI,532362
DEL,DXB,2187214
MNL,DPS,2651958
CEB,PUS,2800216
PUS,CEB,2800216
MNL,BWN,1250952
MVD,EZE,229149
DEL,GOI,1498437
BLR,COK,365716
BOM,MCT,1591824
ICN,GUM,3221024
MNL,BKK,2190478
CJU,CJJ,367233
BLR,DEL,1702766
TXL,PRN,1252431
MBA,NBO,421978
CEB,CRK,655006
MFM,MNL,1153479
BOM,TRV,1252392
MVD,GIG,1822331
TBS,TLV,1396173
NRT,MNL,3046137
HND,FUK,883028
NGO,MNL,2754447
MNL,PVG,1843998
DXB,DEL,2187214
MNL,NRT,3046137
GMP,NGO,948458
GMP,CJU,449829
MAA,BOM,1032080
MNL,DXB,6915229
TLV,NCE,2739145
DXB,COK,2780469
CCU,MAA,1382651
COK,BLR,365716
DEL,CCU,1313182
MNL,CAN,1275314
MNL,XMN,1151504
DEL,MAA,1753663
BOM,DEL,1134665
ICN,FUK,563116
MNL,PEK,2866598
MAA,BLR,268084
MNL,KUL,2488409
COK,DEL,2039871
BKK,CCU,1635547
PUS,MNL,2423318
MNL,CGY,752200
TRV,MAA,612272
GOI,BLR,482808
MNL,ICN,2600105
BKK,DEL,2947695
PUS,BKK,3695792
KIX,MNL,2629047
SIN,MNL,2371806
DEL,BOM,1134665
BOM,MAA,1032080
KIX,ICN,861671
MAA,HYD,505160
DME,LED,668536
MNL,CGK,2778974
HYD,BOM,623326
XMN,MNL,1151504
SCL,MVD,1369430
HND,KIX,432482
GIG,MVD,1822331
PEK,MNL,2866598
CCU,BOM,1667514
CJJ,CJU,367233
BLR,TRV,528664
MAA,DXB,2933761
HYD,COK,813338
BOM,HYD,623326
PVG,KMG,1968438
MAA,TRV,612272
MNL,MFM,1153479
MVD,SCL,1369430
GOI,DEL,1498437
PVG,MNL,1843998
BLR,CCU,1544747
BLR,MAA,268084
TFS,RIX,4510906
SXF,TLV,2846352
MAA,COK,517077
DEL,BLR,1702766
KUF,SVX,767340
CKG,BKK,1876799
TLV,SXF,2846352
DXB,BOM,1927843
CKG,KMG,629640
COK,DXB,2780469
TRV,BOM,1252392
CJU,PUS,291275
NNG,FOC,1222999
BOM,DXB,1927843
BLR,GOI,482808
COK,HYD,813338
GOI,BOM,422956
TRV,COK,193269
CEB,PUS,2800216
LED,DME,668536
HYD,DXB,2548970
BKK,PUS,3695792
BOM,COK,1059422
DXB,TRV,2944098
SIN,MAA,2925021
TLV,TBS,1396173
HYD,CCU,1207718
CCU,BLR,1544747
CJU,GMP,449829
MAA,CCU,1382651
BOM,BLR,832138
CEB,ICN,3018905
NGO,ICN,974998
ICN,MNL,2600105
DEL,BKK,2947695
FUK,HND,883028
MCT,BOM,1591824
KMG,NNG,601164
GOI,HYD,532362
ICN,NRT,1259635
MNL,ICN,2600105
CCU,HYD,1207718
CCU,BKK,1635547
BOM,GOI,422956
GUM,ICN,3221024
SXM,SDQ,695103
MAA,SIN,2925021
COK,TRV,193269
PUS,CJU,291275
HKG,ICN,2066884
TLV,FCO,2281352
CCU,DEL,1313182
NGO,GMP,948458
DXB,HYD,2548970
COK,BOM,1059422
HYD,DEL,1262638
TRV,DXB,2944098
SVX,UFA,394140
GRV,DME,1449447
KMG,PEK,2092746
NNG,KMG,601164
SYX,SHA,1866587
KMG,WUH,1275073
ATL,FWA,817643
SHA,XMN,802067
UFA,SVX,394140
KWE,KMG,419553
PVG,NNG,1649724
BKK,CKG,1876799
PVG,CNX,2674687
TIP,AMM,2151531
MVD,GRU,1567303
COK,MAA,517077
BOM,CCU,1667514
RIX,TFS,4510906
TRV,BLR,528664
DEL,HYD,1262638
FUK,ICN,563116
KIX,HND,432482
MAA,DEL,1753663
ICN,HKG,2066884
ANC,FAI,419981
HYD,MAA,505160
NCE,TLV,2739145
NKG,CSX,671867
ICN,CNX,3381995
SYX,KMG,1007929
TIP,JED,2838796
BKK,ICN,3664866
SIN,KWE,2803342
ATL,CHA,170775
TNA,KMG,1882804
MBS,ATL,1098976
