BOM,DEL,1134665
MNL,BKK,2190478
MVD,SCL,1369430
MNL,SIN,2371806
SIN,CEB,2422628
MNL,CGK,2778974
MNL,KIX,2629047
CEB,ICN,3018905
CEB,HKG,1707386
COK,HYD,813338
BLR,TRV,528664
BOM,GOI,422956
NRT,MNL,3046137
GOI,DEL,1498437
CEB,PUS,2800216
DXB,COK,2780469
MNL,CAN,1275314
CEB,CRK,655006
KUL,MNL,2488409
DXB,MNL,6915229
DEL,HYD,1262638
CRK,HKG,1054383
TPE,MNL,1170255
BLR,DEL,1702766
TRV,BLR,528664
CCU,BOM,1667514
BKK,CCU,1635547
PUS,MNL,2423318
CWB,MVD,1224315
MNL,PEK,2866598
CRK,MFM,1064690
BOM,CCU,1667514
FCO,TLV,2281352
MFM,CRK,1064690
MAA,DEL,1753663
MNL,HKG,1143574
COK,BOM,1059422
DPS,MNL,2651958
CCU,MAA,1382651
MFM,MNL,1153479
DEL,BLR,1702766
MAA,TRV,612272
BLR,CCU,1544747
ICN,MNL,2600105
CRK,CEB,655006
GRU,MVD,1567303
BKK,DEL,2947695
BOM,COK,1059422
BLR,BOM,832138
HKG,MNL,1143574
DME,LED,668536
BLR,MAA,268084
CCU,BKK,1635547
DVO,CGY,210334
SCL,MVD,1369430
ICN,CEB,3018905
MNL,BWN,1250952
NCE,TLV,2739145
MAA,DXB,2933761
SGN,MNL,1612785
MVD,GIG,1822331
HYD,MAA,505160
CGY,MNL,752200
COK,TRV,193269
MNL,SGN,1612785
REP,MNL,1862785
DXB,HYD,2548970
MNL,CEB,565210
HKG,CRK,1054383
CGK,MNL,2778974
BOM,DXB,1927843
CCU,HYD,1207718
BOM,HYD,623326
MBA,NBO,421978
COK,DXB,2780469
DEL,COK,2039871
BOM,BLR,832138
DEL,BKK,2947695
NBO,JUB,905327
COK,DEL,2039871
SIN,MNL,2371806
HYD,DEL,1262638
COK,BLR,365716
BOM,MCT,1591824
BOM,MAA,1032080
MNL,XMN,1151504
DXB,DEL,2187214
DXB,TRV,2944098
CEB,SIN,2422628
MVD,EZE,229149
MAA,BOM,1032080
TRV,COK,193269
MNL,TPE,1170255
CEB,DVO,396855
CCU,BLR,1544747
MNL,CGY,752200
MNL,DVO,960456
DEL,DXB,2187214
BLR,HYD,453019
MNL,KUL,2488409
MNL,HAN,1773787
DEL,CCU,1313182
DXB,BOM,1927843
MNL,REP,1862785
MNL,NGO,2754447
NGO,MNL,2754447
HYD,BLR,453019
HYD,DXB,2548970
MAA,CCU,1382651
LED,DME,668536
HND,KIX,432482
BOM,TRV,1252392
COK,MAA,517077
MNL,DPS,2651958
TLV,FCO,2281352
DEL,GOI,1498437
CAN,MNL,1275314
SIN,MAA,2925021
TLV,NCE,2739145
NRT,ICN,1259635
FUK,HND,883028
MAA,COK,517077
CEB,CGY,194701
DXB,MAA,2933761
CCU,DEL,1313182
JUB,NBO,905327
MVD,GRU,1567303
MAA,BLR,268084
HKG,CEB,1707386
PEK,MNL,2866598
PUS,CEB,2800216
FAI,ANC,419981
TLV,TBS,1396173
HYD,GOI,532362
GOI,HYD,532362
CJU,CJJ,367233
MVD,CWB,1224315
CEB,MNL,565210
DEL,MAA,1753663
BLR,GOI,482808
SXF,TLV,2846352
CEB,ICN,3018905
GOI,BOM,422956
MCT,BOM,1591824
ICN,BKK,3664866
SDQ,SXM,695103
HYD,CCU,1207718
BKK,ICN,3664866
NGO,GMP,948458
KIX,ICN,861671
ANC,FAI,419981
TFS,RIX,4510906
HYD,COK,813338
KIX,GMP,837222
CJU,PVG,513511
KWL,KMG,716838
GOI,BLR,482808
TRV,MAA,612272
ICN,MNL,2600105
TLV,SXF,2846352
GMP,NGO,948458
SYX,PVG,1892996
ATL,CHA,170775
DLM,IST,473339
KWL,XMN,820645
MNL,ICN,2600105
KMG,CTU,615112
AYT,IST,484335
MSP,MSY,1672814
ATL,FWA,817643
IST,TIP,1669920
HYD,BOM,623326
TRV,DXB,2944098
TBS,TLV,1396173
GMP,CJU,449829
MAA,SIN,2925021
MAA,HYD,505160
CJJ,CJU,367233
SVX,KUF,767340
TSN,CTU,1546380
SVO,AYT,2177905
UFA,SVX,394140
HRB,PVG,1652897
NNG,KMG,601164
SHE,SZX,2292381
CJU,GMP,449829
IST,GZT,873455
MBS,ATL,1098976
CSX,SHA,853034
TRV,BOM,1252392
PUS,BKK,3695792
ICN,KIX,861671
GMP,KIX,837222
PVG,REP,2692394
DLC,HGH,974403
SHA,CKG,1419624
ICN,BKK,3664866
GRV,DME,1449447
GSP,ATL,246766
ODS,IST,623790
PEK,KMG,2092746
CNX,ICN,3381995
ICN,CNX,3381995
DLC,TSN,363389
ATL,GSO,493012
PUS,CJU,291275
ADB,IST,330263
CMN,TIP,1937092
KHH,PVG,960082
ICN,FUK,563116
BKK,PUS,3695792
